,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
4616,17,Delicatessen,1991,7.7,66.0,74478,1794187.0,"Comedy, Crime",99.0,"Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech, Jean-Claude Dreyfus",Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.
4617,18,The Fisher King,1991,7.6,61.0,72751,41895491.0,"Comedy, Drama, Fantasy",137.0,Terry Gilliam,"Jeff Bridges, Robin Williams, Adam Bryant, Paul Lombardi","A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake."
4618,19,Backdraft,1991,6.7,38.0,65471,77868585.0,"Action, Crime, Drama",137.0,Ron Howard,"Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland","Two Chicago firefighter brothers, who don't get along, have to work together while a dangerous arsonist is on the loose."
4619,20,My Girl,1991,6.9,56.0,65217,59847242.0,"Comedy, Drama, Family",102.0,Howard Zieff,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd, Jamie Lee Curtis","A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend."
4620,21,Star Trek VI: The Undiscovered Country,1991,7.2,65.0,64042,74888996.0,"Action, Adventure, Sci-Fi",110.0,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
4621,22,Father of the Bride,1991,6.5,51.0,62649,89325780.0,"Comedy, Family, Romance",105.0,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley","With his oldest daughter's wedding approaching, a father finds himself reluctant to let go."
4622,23,Fried Green Tomatoes,1991,7.7,64.0,60483,82418501.0,Drama,130.0,Jon Avnet,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker",A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
4623,24,What About Bob?,1991,7.0,60.0,57404,63710000.0,Comedy,99.0,Frank Oz,"Bill Murray, Richard Dreyfuss, Julie Hagerty, Charlie Korsmo","A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation."
4624,25,Bill & Ted's Bogus Journey,1991,6.2,60.0,56661,38037513.0,"Adventure, Comedy, Fantasy",93.0,Peter Hewitt,"Keanu Reeves, Alex Winter, William Sadler, Joss Ackland",A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.
4625,26,Night on Earth,1991,7.8,68.0,49229,2015810.0,"Comedy, Drama",129.0,Jim Jarmusch,"Winona Ryder, Gena Rowlands, Lisanne Falk, Alan Randolph Scott",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
4626,27,Hudson Hawk,1991,5.8,17.0,48340,17218080.0,"Action, Adventure, Comedy",100.0,Michael Lehmann,"Bruce Willis, Danny Aiello, Andie MacDowell, James Coburn",A cat burglar is forced to steal Da Vinci works of art for a world domination plot.
4627,28,The Rocketeer,1991,6.4,61.0,48071,46704056.0,"Action, Adventure, Family",108.0,Joe Johnston,"Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton",A young pilot stumbles onto a prototype jetpack that allows him to become a high flying masked hero.
4628,29,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45.0,47316,78656813.0,"Action, Adventure, Comedy",88.0,Michael Pressman,"Paige Turco, David Warner, Michelan Sisti, Leif Tilden","The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants."
4629,30,Sleeping with the Enemy,1991,6.2,48.0,44750,101599005.0,"Drama, Thriller",99.0,Joseph Ruben,"Julia Roberts, Patrick Bergin, Kevin Anderson, Elizabeth Lawrence","A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband."
4630,31,My Own Private Idaho,1991,7.1,77.0,43897,6401336.0,Drama,104.0,Gus Van Sant,"River Phoenix, Keanu Reeves, James Russo, William Richert",Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.
4631,32,City Slickers,1991,6.7,70.0,43896,124033791.0,Comedy,113.0,Ron Underwood,"Billy Crystal, Jack Palance, Daniel Stern, Bruno Kirby","On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
4632,33,Naked Lunch,1991,7.1,67.0,42353,2541541.0,Drama,115.0,David Cronenberg,"Peter Weller, Judy Davis, Ian Holm, Julian Sands","After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa."
4633,34,Highlander II: The Quickening,1991,4.1,31.0,40845,15556340.0,"Action, Adventure, Fantasy",91.0,Russell Mulcahy,"Christopher Lambert, Sean Connery, Virginia Madsen, Michael Ironside","In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield."
4634,35,Freddy's Dead: The Final Nightmare,1991,4.9,39.0,36986,34872033.0,"Fantasy, Horror",89.0,Rachel Talalay,"Robert Englund, Lisa Zane, Shon Greenblatt, Lezlie Deane","Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom."
4635,36,La double vie de Véronique,1991,7.8,86.0,35722,1999955.0,"Drama, Fantasy, Music",98.0,Krzysztof Kieslowski,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
