,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
0,1,2001: A Space Odyssey,1968,8.3,82.0,533017,56954992.0,"Adventure, Sci-Fi",149.0,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000."
1,2,Once Upon a Time in the West,1968,8.5,80.0,266884,5321508.0,Western,165.0,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
2,3,Rosemary's Baby,1968,8.0,96.0,167435,,"Drama, Horror",137.0,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life."
3,4,Planet of the Apes,1968,8.0,79.0,154752,33395426.0,"Adventure, Sci-Fi",112.0,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
4,5,Night of the Living Dead,1968,7.9,89.0,103830,89029.0,Horror,96.0,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman","There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these bloodthirsty, flesh-eating monsters."
5,6,Bullitt,1968,7.5,83.0,54658,42300873.0,"Action, Crime, Mystery",114.0,Peter Yates,"Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon","An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection."
6,7,Where Eagles Dare,1968,7.7,,46967,,"Action, Adventure, War",158.0,Brian G. Hutton,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark",Allied agents stage a daring raid on a castle where the Nazis are holding an American General prisoner... but that's not all that's really going on.
7,8,Chitty Chitty Bang Bang,1968,6.9,,37088,,"Adventure, Family, Fantasy",144.0,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Benny Hill","A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land."
8,9,The Party,1968,7.6,,34463,,Comedy,99.0,Blake Edwards,"Peter Sellers, Claudine Longet, Natalia Borisova, Jean Carson",A clerical mistake results in a bumbling Indian film star being invited to an exclusive Hollywood party instead of being fired.
9,10,Hang 'Em High,1968,7.0,62.0,31287,,Western,114.0,Ted Post,"Clint Eastwood, Inger Stevens, Pat Hingle, Ed Begley","When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
10,11,Oliver!,1968,7.5,,31056,16800000.0,"Drama, Family, Musical",153.0,Carol Reed,"Mark Lester, Ron Moody, Shani Wallis, Oliver Reed","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor."
11,12,The Odd Couple,1968,7.7,86.0,28922,44527234.0,Comedy,105.0,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman","Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day."
12,13,Barbarella,1968,5.9,51.0,28864,,"Adventure, Comedy, Fantasy",98.0,Roger Vadim,"Jane Fonda, John Phillip Law, Anita Pallenberg, Milo O'Shea","Barbarella, an astronaut from the 41st century, sets out to find and stop the evil scientist Durand Durand, whose Positronic Ray threatens to bring evil back into the galaxy."
13,14,Romeo and Juliet,1968,7.6,,26895,38901218.0,"Drama, Romance",138.0,Franco Zeffirelli,"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea","When two young members of feuding families meet, forbidden love ensues."
14,15,The Lion in Winter,1968,8.1,,26627,22276975.0,"Biography, Drama, History",134.0,Anthony Harvey,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
15,16,Yellow Submarine,1968,7.4,79.0,22351,992305.0,"Animation, Adventure, Comedy",90.0,George Dunning,"Paul McCartney, George Harrison, Ringo Starr, John Lennon",The Beatles agree to accompany Captain Fred in his Yellow Submarine and go to Pepperland to free it from the music hating Blue Meanies.
16,17,The Thomas Crown Affair,1968,7.0,66.0,20046,,"Crime, Drama, Romance",102.0,Norman Jewison,"Steve McQueen, Faye Dunaway, Paul Burke, Jack Weston","A debonair, adventuresome bank executive believes he has pulled off the perfect multi-million dollar heist, only to match wits with a sexy insurance investigator who will do anything to get her man."
17,18,If....,1968,7.6,,19833,,Drama,111.0,Lindsay Anderson,"Malcolm McDowell, David Wood, Richard Warwick, Christine Noonan","In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England."
18,19,Funny Girl,1968,7.6,89.0,16419,223306.0,"Biography, Comedy, Drama",151.0,William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein."
19,20,Vargtimmen,1968,7.7,,15601,,"Drama, Horror",90.0,Ingmar Bergman,"Max von Sydow, Liv Ullmann, Gertrud Fridh, Georg Rydeberg","While vacationing on a remote Scandanavian island with his younger pregnant wife, an artist has an emotional breakdown while confronting his repressed desires."
20,21,Coogan's Bluff,1968,6.5,,13942,,"Action, Comedy, Crime",93.0,Don Siegel,"Clint Eastwood, Lee J. Cobb, Susan Clark, Tisha Sterling",An Arizona deputy sheriff is sent to New York City to escort an escaped fugitive back for trial.
21,22,The Love Bug,1968,6.5,48.0,12535,,"Comedy, Family, Sport",108.0,Robert Stevenson,"Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett",A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.
22,23,Il grande silenzio,1968,7.8,,12066,53074.0,Western,105.0,Sergio Corbucci,"Jean-Louis Trintignant, Klaus Kinski, Frank Wolff, Vonetta McGee","A mute gunfighter defends a young widow and a group of outlaws against a gang of bounty killers in the winter of 1898, and a grim, tense struggle unfolds."
23,24,The Green Berets,1968,5.7,,11174,21707027.0,"Drama, War",142.0,"Ray Kellogg, John Wayne, Mervyn LeRoy","John Wayne, David Janssen, Jim Hutton, Aldo Ray",Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General.
24,25,Teorema,1968,7.3,,10218,,"Drama, Mystery",98.0,Pier Paolo Pasolini,"Silvana Mangano, Terence Stamp, Massimo Girotti, Anne Wiazemsky","A mysterious young man seduces each member of a bourgeois family. When he suddenly leaves, how will their lives change?"
25,26,Baisers volés,1968,7.8,,10213,,"Comedy, Drama, Romance",90.0,François Truffaut,"Jean-Pierre Léaud, Claude Jade, Delphine Seyrig, Michael Lonsdale","After being discharged from the army, Antoine Doinel centers a screwball comedy where he applies for different jobs and tries to make sense of his relationships with women."
26,27,Skammen,1968,8.0,,10205,,Drama,103.0,Ingmar Bergman,"Liv Ullmann, Max von Sydow, Sigge Fürst, Gunnar Björnstrand","In the midst of a civil war, former violinists Jan and Eva Rosenberg, who have a tempestuous marriage, run a farm on a rural island. In spite of their best efforts to escape their homeland, the war impinges on every aspect of their lives."
27,28,Astérix et Cléopâtre,1968,7.2,,10131,,"Animation, Adventure, Comedy",72.0,"René Goscinny, Albert Uderzo","Roger Carel, Jacques Morel, Micheline Dax, Jacques Balutin","Popular animated hero Asterix and his faithful sidekick Obelix travel to ancient Egypt to help Cleopatra build a new summer home. Cleopatra and Julius Caesar have made a bet, with Caesar ...                See full summary »"
28,29,Faces,1968,7.7,,8295,,Drama,130.0,John Cassavetes,"John Marley, Gena Rowlands, Lynn Carlin, Seymour Cassel","A middle-aged man leaves his wife for a younger woman. Shortly after, his ex-wife also begins a relationship with a younger partner. The film follows their struggles to find love amongst each other."
29,30,The Swimmer,1968,7.7,,8117,,Drama,95.0,"Frank Perry, Sydney Pollack","Burt Lancaster, Janet Landgard, Janice Rule, Tony Bickley",A man spends a summer day swimming as many pools as he can all over a quiet suburban town.
30,31,Ice Station Zebra,1968,6.6,,8009,,"Adventure, Thriller",148.0,John Sturges,"Rock Hudson, Ernest Borgnine, Patrick McGoohan, Jim Brown",USN nuclear sub USS Tigerfish must rush to the North Pole to rescue the staff of Drift Ice Station Zebra weather station.
31,32,Witchfinder General,1968,6.9,,7862,,"Biography, Drama, Horror",86.0,Michael Reeves,"Vincent Price, Ian Ogilvy, Rupert Davies, Hilary Heath",A young soldier seeks to put an end to the evils caused by a vicious witch hunter.
32,33,La mariée était en noir,1968,7.3,,7581,545000.0,"Crime, Drama, Mystery",107.0,François Truffaut,"Jeanne Moreau, Jean-Claude Brialy, Michel Bouquet, Charles Denner","Julie Kohler is prevented from suicide by her mother. She leaves the town. She will track down, charm and kill five men who do not know her. What is her goal? What is her purpose?"
33,34,The Boston Strangler,1968,7.1,,7238,,"Crime, Drama, Mystery",116.0,Richard Fleischer,"Tony Curtis, Henry Fonda, George Kennedy, Mike Kellin",A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.
34,35,Targets,1968,7.4,,7147,,"Crime, Drama, Thriller",90.0,Peter Bogdanovich,"Tim O'Kelly, Boris Karloff, Nancy Hsueh, James Brown","An elderly horror film star, while making a personal appearance at a drive-in theatre, confronts a psychotic Vietnam War veteran who has turned into a mass-murdering sniper."
35,36,Hell in the Pacific,1968,7.3,,6985,,"Adventure, War",103.0,John Boorman,"Lee Marvin, Toshirô Mifune","During World War II, an American pilot and a marooned Japanese navy captain are deserted on a small uninhabited island in the Pacific Ocean. There, they must cease their hostility and cooperate if they want to survive, but will they?"
36,37,"Yours, Mine and Ours",1968,7.2,,6919,25912624.0,"Comedy, Family",111.0,Melville Shavelson,"Lucille Ball, Henry Fonda, Van Johnson, Louise Troy","A widower with ten children falls for a widow with eight, and they must decide about forming a huge, unconventional family."
37,38,The Devil Rides Out,1968,7.0,,6658,,Horror,95.0,Terence Fisher,"Christopher Lee, Charles Gray, Nike Arrighi, Leon Greene",Devil worshipers plan to convert two new victims.
38,39,Le gendarme se marie,1968,6.8,,6097,,"Adventure, Comedy, Romance",92.0,Jean Girault,"Louis de Funès, Jean Lefebvre, Geneviève Grad, Christian Marin",The gendarme Cruchot meets the widow Josepha. They quickly fall in love but Cruchot's daughter doesn't like Josepha and is determined to prevent the wedding by all means necessary.
39,40,Charly,1968,7.1,,5695,,"Drama, Romance, Sci-Fi",103.0,Ralph Nelson,"Cliff Robertson, Claire Bloom, Lilia Skala, Leon Janney",An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.
40,41,Dracula Has Risen from the Grave,1968,6.6,,5651,,"Drama, Fantasy, Horror",92.0,Freddie Francis,"Christopher Lee, Rupert Davies, Veronica Carlson, Barbara Ewing","When Castle Dracula is exorcised by the Monsignor, it accidentally brings the Count back from the dead. Dracula follows the Monsignor back to his hometown, preying on the holy man's beautiful niece and her friends."
41,42,Head,1968,6.6,,5232,,"Comedy, Fantasy, Musical",86.0,Bob Rafelson,"Peter Tork, Davy Jones, Micky Dolenz, Michael Nesmith","The Monkees are tossed about in a psychedelic, surrealist, plotless, circular bit of fun fluff."
42,43,Diabolik,1968,6.5,,5157,,"Action, Comedy, Crime",105.0,Mario Bava,"John Phillip Law, Marisa Mell, Michel Piccoli, Adolfo Celi","International man of mystery Diabolik and his sensuous lover Eva Kant pull off heist after heist, all while European cops led by Inspector Ginko and envious mobsters led by Ralph Valmont are closing in on them."
43,44,Padosan,1968,8.1,,5020,,"Comedy, Musical, Romance",157.0,Jyoti Swaroop,"Sunil Dutt, Saira Banu, Mehmood, Kishore Kumar",A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.
44,45,Yabu no naka no kuroneko,1968,7.8,,4966,,"Drama, Horror",99.0,Kaneto Shindô,"Kichiemon Nakamura, Nobuko Otowa, Kei Satô, Rokkô Toura",Two women are raped and killed by samurai soldiers. Soon they reappear as vengeful ghosts who seduce and brutally murder the passing samurai.
45,46,Histoires extraordinaires,1968,6.6,,4938,,"Drama, Horror, Mystery",121.0,"Federico Fellini, Louis Malle, Roger Vadim","Jane Fonda, Brigitte Bardot, Alain Delon, Terence Stamp","Anthology film from three European directors based on stories by Edgar Allan Poe: a cruel princess haunted by a ghostly horse, a sadistic young man haunted by his double, and an alcoholic actor haunted by the Devil."
46,47,Hellfighters,1968,6.6,,4644,,"Action, Adventure, Drama",121.0,Andrew V. McLaglen,"John Wayne, Katharine Ross, Jim Hutton, Vera Miles",The story of macho oil well firefighters and their wives.
47,48,Fando y Lis,1968,7.0,,4494,,"Adventure, Fantasy",93.0,Alejandro Jodorowsky,"Tamara Garina, Sergio Kleiner, Diana Mariscal, María Teresa Rivas",Fando and his partially paralyzed lover Lis search for the mythical city of Tar. Based on Jodorowsky's memories of a play by surrealist Fernando Arrabal.
48,49,Blackbeard's Ghost,1968,6.8,,4492,,"Comedy, Family, Fantasy",106.0,Robert Stevenson,"Peter Ustinov, Dean Jones, Suzanne Pleshette, Elsa Lanchester","On the Carolina coast, Godolphin College's new track coach lodges at Blackbeard's Inn, run by the Daughters of the Buccaneers, who claim to be descendants of the notorious pirate, and who risk losing their hotel to the local mobster."
49,50,The Devil's Brigade,1968,6.8,,4482,,"Action, Drama, War",130.0,Andrew V. McLaglen,"William Holden, Cliff Robertson, Vince Edwards, Andrew Prine",An American colonel who has never been in combat is assigned to create a special forces unit from Canadian Army troops and a ragtag group of U.S. Army misfits.
50,51,Carry On... Up the Khyber,1968,6.9,,4013,,"Adventure, Comedy",88.0,Gerald Thomas,"Sidney James, Kenneth Williams, Charles Hawtrey, Roy Castle","Sir Sidney Ruff-Diamond looks after the British outpost near the Khybar pass. Protected by the kilted Third Foot and Mouth regiment, you would think they were safe. But the Khazi of Kalabar...                See full summary »"
51,52,Kaijû sôshingeki,1968,6.6,,3994,,"Action, Horror, Sci-Fi",89.0,Ishirô Honda,"Akira Kubo, Jun Tazaki, Yukiko Kobayashi, Yoshio Tsuchiya",Female aliens take control of Earth's monsters and begin using them to destroy the human race.
52,53,Bandolero!,1968,6.6,,3926,,"Action, Crime, Drama",106.0,Andrew V. McLaglen,"James Stewart, Dean Martin, Raquel Welch, George Kennedy","Mace Bishop masquerades as a hangman in order to save his outlaw brother from the gallows, runs to Mexico chased by the Sheriff's posse and fights against Mexican bandits."
53,54,Il mercenario,1968,7.3,,3438,,"Comedy, Western",110.0,Sergio Corbucci,"Franco Nero, Tony Musante, Franco Giacobini, Eduardo Fajardo","A greedy Polish mercenary aids a mine worker and peasant girl as they lead a revolution against the oppressive Mexican Government, and are pursued by an American rival."
54,55,Girl in Gold Boots,1968,2.2,,3423,,"Crime, Drama, Music",94.0,Ted V. Mikels,"Jody Daniels, Leslie McRay, Tom Pace, Mark Herron","A young woman leaves her job as a waitress and travels to Los Angeles, where she strives to become the top star in the glamorous world of go-go dancing."
55,56,I quattro dell'Ave Maria,1968,6.7,,3318,,"Comedy, Western",132.0,Giuseppe Colizzi,"Terence Hill, Bud Spencer, Eli Wallach, Brock Peters",A recently-escaped bandit forms an unlikely alliance with two bounty hunters and an acrobat to get revenge against the people who framed him.
56,57,The Heart Is a Lonely Hunter,1968,7.7,,3203,,Drama,123.0,Robert Ellis Miller,"Alan Arkin, Sondra Locke, Chuck McCann, Peter Mamakos","When deaf mute Singer moves to a small city to be near his only friend confined in a hospital, he grows attached to his landlady's sensitive 16-year-old daughter."
57,58,Le petit baigneur,1968,6.6,,3140,,Comedy,96.0,Robert Dhéry,"Louis de Funès, Andréa Parisy, Franco Fabrizi, Michèle Alexandre","Louis-Philippe Fourchaume, another typical lead-role for French comedy superstar Louis de Funès, is the dictatorial CEO of a French company which designs and produces sail yachts, and fires...                See full summary »"
58,59,Memorias del subdesarrollo,1968,7.8,,3087,29647.0,Drama,97.0,Tomás Gutiérrez Alea,"Sergio Corrieri, Daisy Granados, Eslinda Núñez, Omar Valdés",A Cuban man cycles through his repressed opinions and memories as the threat of foreign invasion intensifies and the rest of his family retreats to Miami.
59,60,5 Card Stud,1968,6.6,,3045,,"Mystery, Romance, Western",103.0,Henry Hathaway,"Dean Martin, Robert Mitchum, Inger Stevens, Roddy McDowall","The players in an ongoing poker game are being mysteriously killed off, one by one."
60,61,The Shoes of the Fisherman,1968,7.2,,3036,,Drama,162.0,Michael Anderson,"Anthony Quinn, Laurence Olivier, Oskar Werner, David Janssen","Ukrainian Archbishop Kiril Lakota is set free after twenty years as a political prisoner in Siberia. He is brought to Rome by Father David Telemond, a troubled young priest who befriends ...                See full summary »"
61,62,Finian's Rainbow,1968,6.2,,2980,11600000.0,"Family, Fantasy, Musical",141.0,Francis Ford Coppola,"Fred Astaire, Petula Clark, Tommy Steele, Don Francks","An Irish immigrant and his daughter move into a town in the American South with a magical piece of gold that will change people's lives, including a struggling farmer and African American citizens threatened by a bigoted politician."
62,63,Madigan,1968,6.5,,2885,,"Crime, Drama, Thriller",101.0,Don Siegel,"Richard Widmark, Henry Fonda, Inger Stevens, Harry Guardino","In New York City's Spanish Harlem, detectives Madigan and Bonaro are given 72 hours by their superior to capture a hoodlum wanted for homicide in Brooklyn."
63,64,Pretty Poison,1968,7.1,,2882,,"Comedy, Crime, Romance",89.0,Noel Black,"Anthony Perkins, Tuesday Weld, Beverly Garland, John Randolph","When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue."
64,65,Firecreek,1968,6.9,,2873,,"Drama, Romance, Western",104.0,Vincent McEveety,"James Stewart, Henry Fonda, Inger Stevens, Gary Lockwood","A peace-loving, part-time Sheriff in the small town of Firecreek must take a stand when a gang of vicious outlaws takes over his town."
65,66,The Scalphunters,1968,6.8,,2806,,"Comedy, Western",102.0,Sydney Pollack,"Burt Lancaster, Shelley Winters, Telly Savalas, Ossie Davis","Forced to trade his valuable furs for a well-educated escaped slave, a rugged trapper vows to recover the pelts from the Indians and later the renegades that killed them."
66,67,The Green Slime,1968,4.6,,2789,,"Drama, Horror, Sci-Fi",90.0,Kinji Fukasaku,"Robert Horton, Luciana Paluzzi, Richard Jaeckel, Bud Widom","After destroying a giant asteroid heading towards Earth, a group of scientists unknowingly bring back a strange green substance that soon mutates into a monster."
67,68,Les biches,1968,7.2,,2735,,Drama,100.0,Claude Chabrol,"Jean-Louis Trintignant, Jacqueline Sassard, Stéphane Audran, Nane Germon",Architect Paul Thomas insinuates himself into the relationship of two bisexual women living in a St. Tropez villa with tragic consequences.
68,69,The Charge of the Light Brigade,1968,6.7,,2723,,"Drama, History, War",139.0,Tony Richardson,"Trevor Howard, Vanessa Redgrave, John Gielgud, Harry Andrews","In 1854, during the Crimean War, poor planning leads to a British Light Brigade openly charging a Russian artillery position with tragic consequences."
69,70,Lo sbarco di Anzio,1968,6.0,,2707,,"Drama, History, War",117.0,"Edward Dmytryk, Duilio Coletti","Robert Mitchum, Peter Falk, Robert Ryan, Earl Holliman","One of WWII's bloodiest battles as the Allies smash through the German lines which have enclosed the Anzio beachhead. Four months and 30,000 casualties before the Allies finally march to Rome."
70,71,Greetings,1968,5.8,,2689,,"Comedy, Drama",88.0,Brian De Palma,"Jonathan Warden, Robert De Niro, Gerrit Graham, Richard Hamilton","An offbeat, episodic film about three friends, Paul, a shy love-seeker, Lloyd, a vibrant conspiracy nut, and Jon, an aspiring filmmaker and peeping tom. The film satirizes free-love, the ...                See full summary »"
71,72,"Rachel, Rachel",1968,7.4,,2652,,"Drama, Romance",101.0,Paul Newman,"Joanne Woodward, James Olson, Kate Harrington, Estelle Parsons","Rachel is a 35 year old school teacher who has no man in her life and lives with her mother. When a man from the big city returns and asks her out, she begins to have to make decisions about her life and where she wants it to go."
72,73,"I Love You, Alice B. Toklas!",1968,6.3,,2639,,"Comedy, Romance",92.0,Hy Averback,"Peter Sellers, Jo Van Fleet, Leigh Taylor-Young, Joyce Van Patten","A thirty-something square falls in love with a hippie and decides to ""drop out"" himself."
73,74,The Detective,1968,6.5,,2544,,"Crime, Drama, Thriller",114.0,Gordon Douglas,"Frank Sinatra, Lee Remick, Ralph Meeker, Jack Klugman","Police detective Joe Leland investigates the murder of a homosexual man. While investigating, he discovers links to official corruption in New York City in this drama that delves into a world of sex and drugs."
74,75,Adieu l'ami,1968,7.1,,2524,,"Action, Adventure, Crime",115.0,Jean Herman,"Alain Delon, Charles Bronson, Brigitte Fossey, Olga Georges-Picot","After an overseas deployment, two former French Foreign Legion members plan to break into the vault of a French corporation."
75,76,Petulia,1968,7.3,,2499,,"Drama, Romance",105.0,Richard Lester,"Julie Christie, George C. Scott, Richard Chamberlain, Arthur Hill",An unhappily married socialite finds solace in the company of a recently divorced doctor.
76,77,The Tattoo,1968,6.6,,2413,,Comedy,90.0,Denys de La Patellière,"Jean Gabin, Louis de Funès, Paul Mercey, Yves Barsacq","An art dealer wants to buy a Modigliani, which is tattooed on the back of an old soldier."
77,78,Shalako,1968,5.5,,2399,,Western,113.0,Edward Dmytryk,"Sean Connery, Brigitte Bardot, Stephen Boyd, Jack Hawkins","In 1880 New Mexico, a group of European hunters runs afoul of the Apache but is aided by an ex-cavalryman turned guide."
78,79,Candy,1968,5.4,,2396,,"Adventure, Comedy, Fantasy",115.0,Christian Marquand,"Ewa Aulin, Richard Burton, Charles Aznavour, Marlon Brando","Candy, an innocent high-schooler, encounters numerous colorful characters and humorous sexual situations while attempting to find meaning in life."
79,80,The Mercenaries,1968,6.9,,2320,,"Action, Adventure, Drama",100.0,Jack Cardiff,"Rod Taylor, Yvette Mimieux, Peter Carsten, Jim Brown","A band of mercenaries led by Captain Curry travel through war-torn Congo across deadly terrain, battling rival armies, to steal $50 million in uncut diamonds. But infighting, sadistic rebels and a time lock jeopardize everything."
80,81,Vixen!,1968,5.8,,2303,,Drama,70.0,Russ Meyer,"Erica Gavin, Garth Pillsbury, Harrison Page, Jon Evans","Vixen lives in a Canadian mountain resort with her naive pilot husband. While he's away flying in tourists, she gets it on with practically everybody including a husband and his wife, and ...                See full summary »"
81,82,Kiru,1968,7.6,,2245,,"Action, Comedy, Drama",115.0,Kihachi Okamoto,"Tatsuya Nakadai, Etsushi Takahashi, Yuriko Hoshi, Tadao Nakamaru",Two ronin - an ex-samurai and an ex-farmer - get caught up in a local official's complex game of murder and betrayal.
82,83,With Six You Get Eggroll,1968,6.4,,2209,10095200.0,"Comedy, Drama, Family",95.0,Howard Morris,"Doris Day, Brian Keith, Pat Carroll, Barbara Hershey","Two widowed people fall in love and marry, unprepared for the hostile reactions of their children."
83,84,A Pál utcai fiúk,1968,8.0,,2170,,Drama,110.0,Zoltán Fábri,"Mari Töröcsik, Sándor Pécsi, László Kozák, Anthony Kemp","In Budapest, two rival gangs of young boys lay claim to a vacant lot. The hostilities escalate yet never quite boil over into actual violence. Just when things do get out of hand, however, ...                See full summary »"
84,85,Psych-Out,1968,6.0,,2131,,Drama,101.0,Richard Rush,"Susan Strasberg, Dean Stockwell, Jack Nicholson, Bruce Dern",A deaf runaway arrives in San Francisco's Haight-Ashbury hippie district looking for her missing brother.
85,86,"Je t'aime, je t'aime",1968,7.3,,2129,59041.0,"Drama, Sci-Fi",94.0,Alain Resnais,"Claude Rich, Olga Georges-Picot, Anouk Ferjac, Alain MacMoy","After attempting suicide, Claude is recruited for a time travel experiment, but, when the machine goes haywire, he may be trapped hurtling through his memories."
86,87,The Shakiest Gun in the West,1968,6.4,,2102,,"Comedy, Western",101.0,Alan Rafkin,"Don Knotts, Barbara Rhoades, Jackie Coogan, Don 'Red' Barry","A pardoned stagecoach robber, becomes government agent and marries a naive unsuspecting east-coast dentist in order to join a wagon train and catch the smugglers who have been selling guns to the Indians."
87,88,Flesh,1968,5.7,,2101,,Drama,89.0,Paul Morrissey,"Joe Dallesandro, Geraldine Smith, Patti D'Arbanville, Candy Darling","A man desperate for money and no income, turns prostitute and interplays with a variety of clients and hustlers."
88,89,Inspector Clouseau,1968,5.0,35.0,2050,,"Comedy, Crime, Mystery",96.0,Bud Yorkin,"Alan Arkin, Frank Finlay, Delia Boccardo, Barry Foster",A string of robberies has occurred in Britain and it's up to Inspector Clouseau to catch the criminal.
89,90,Zolotoy telyonok,1968,8.4,,2037,,Comedy,174.0,Mikhail Shvejtser,"Sergey Yurskiy, Leonid Kuravlyov, Zinoviy Gerdt, Evgeniy Evstigneev","A crook named Ostap Bender, who survived a murder attempt by Kisa Vorobyaninov in ""12 Chairs,"" now schemes to extort 1 million from an underground millionaire."
90,91,Preparati la bara!,1968,6.5,,2010,,"Western, Action",92.0,Ferdinando Baldi,"Terence Hill, Horst Frank, George Eastman, Bruna Simionato","A gunfighter forms a gang of ""deceased"" execution victims to get revenge on the politician and outlaw who killed his wife."
91,92,The Anniversary,1968,7.2,,2000,,"Comedy, Drama, Thriller",95.0,Roy Ward Baker,"Bette Davis, Sheila Hancock, Jack Hedley, James Cossins",Three sons who work in the family construction business help their overbearing mother celebrate her anniversary to her late husband.
92,93,Isadora,1968,7.6,,1955,,"Biography, Drama, Music",131.0,Karel Reisz,"Vanessa Redgrave, James Fox, Jason Robards, John Fraser","A biography of the dancer Isadora Duncan, the 1920s dancer who forever changed people's ideas of ballet. Her nude, semi-nude, and pro-Soviet dance projects as well as her attitudes on free ...                See full summary »"
93,94,The Astro-Zombies,1968,3.1,,1898,,"Horror, Sci-Fi",92.0,Ted V. Mikels,"Wendell Corey, John Carradine, Tom Pace, Joan Patrick",The Plan - to build a super human; How? - by murdering innocent convenient victims and using various bits of them; The Result - Creatures on the rampage.
94,95,The Killing of Sister George,1968,7.1,,1890,,Drama,138.0,Robert Aldrich,"Beryl Reid, Susannah York, Coral Browne, Ronald Fraser","George lives with her lover, Childie and plays a cheerful district nurse in a BBC soap opera. However, her character is to be killed off, and George realises that the only other job she can...                See full summary »"
95,96,The Stalking Moon,1968,6.8,,1883,,Western,109.0,Robert Mulligan,"Gregory Peck, Eva Marie Saint, Robert Forster, Noland Clay","A sympathetic retired army scout takes-in a white woman and her half-Apache son, not knowing that the boy's father, a murderous renegade Apache, is after them."
96,97,Taiyô no ôji: Horusu no daibôken,1968,6.6,,1881,,"Animation, Action, Adventure",82.0,Isao Takahata,"Mikijirô Hira, Etsuko Ichihara, Eijirô Tôno, Masao Mishima","A boy with a mythical sword wants to protect a Norse village from an evil ice wizard and his minions, who destroyed his family's village. However, the villagers don't fully trust him and a mysterious girl with a dark secret befriends him."
97,98,Egri csillagok,1968,7.5,,1865,,"Adventure, History, Romance",157.0,Zoltán Várkonyi,"István Kovács, Vera Venczel, Imre Sinkovits, György Korga","1552, the great Turkish Empire wants to conquer Europe, and the world. The last stand is Hungarian Kingdom, and the castle of Eger. The brave soldiers decides they will fight till the end of their lifes."
98,99,Vesikali Yarim,1968,8.0,,1825,,"Drama, Romance",89.0,Lütfi Akad,"Türkan Soray, Izzet Günay, Ayfer Feray, Semih Sezerli","My Prostitute Love is a 'realist melodrama' that represents the sentiment of 60s' Istanbul in an authentic way. Poetically written and carefully crafted in cinematography, it juxtaposes the...                See full summary »"
99,100,L'enfance nue,1968,7.6,,1825,,Drama,83.0,Maurice Pialat,"Michel Terrazon, Linda Gutenberg, Raoul Billerey, Pierrette Deplanque","An anguished foster child takes to mischief and lies as his foster parents do their best to love and care for him. But it might be too little, too late in this emotionally devastating portrayal of the orphaned child."
